epoch	train_loss	train_acc	dev_acc
0.1	1.548	0.3	0.0
0.2	0.997	0.4	0.0
0.3	0.806	2.0	2.0
0.4	0.63	4.7	7.0
0.5	0.512	14.8	13.0
0.6	0.42	23.8	22.0
0.7	0.331	34.7	27.0
0.8	0.273	42.1	34.0
0.9	0.239	52.2	45.0
1.0	0.183	62.9	54.0
1.1	0.154	62.8	51.0
1.2	0.131	70.6	59.0
1.3	0.123	72.2	66.0
1.4	0.105	75.1	67.0
1.5	0.105	79.8	69.0
1.6	0.093	80.7	76.0
1.7	0.085	82.4	77.0
1.8	0.085	85.4	83.0
1.9	0.077	79.1	75.0
2.0	0.068	88.1	82.0
2.1	0.051	83.5	81.0
2.2	0.063	86.2	83.0
2.3	0.048	88.2	80.0
2.4	0.053	87.8	81.0
2.5	0.05	88.3	86.0
2.6	0.047	89.3	84.0
2.7	0.041	91.7	86.0
2.8	0.043	92.6	87.0
2.9	0.039	93.8	87.0
3.0	0.034	92.2	88.0
3.1	0.027	95.5	91.0
3.2	0.021	93.0	83.0
3.3	0.041	96.2	93.0
3.4	0.024	95.7	96.0
3.5	0.021	93.5	93.0
3.6	0.029	93.6	91.0
3.7	0.028	95.5	96.0
3.8	0.024	93.2	95.0
3.9	0.03	92.6	91.0
4.0	0.03	94.3	94.0
4.1	0.021	95.5	94.0
4.2	0.013	94.2	91.0
4.3	0.027	92.4	90.0
4.4	0.02	95.1	91.0
4.5	0.018	96.3	92.0
4.6	0.034	93.7	95.0
4.7	0.023	97.3	95.0
4.8	0.014	97.3	97.0
4.9	0.023	95.9	95.0
5.0	0.016	93.7	94.0
5.1	0.014	93.7	96.0
5.2	0.019	95.2	93.0
5.3	0.011	96.0	92.0
5.4	0.023	95.1	90.0
5.5	0.013	96.6	94.0
5.6	0.021	95.7	93.0
5.7	0.016	97.4	95.0
5.8	0.017	96.0	97.0
5.9	0.017	95.3	95.0
6.0	0.014	94.8	91.0
6.1	0.013	95.9	96.0
6.2	0.017	94.5	91.0
6.3	0.016	96.3	96.0
6.4	0.013	95.6	93.0
6.5	0.011	95.6	97.0
6.6	0.018	97.9	94.0
6.7	0.013	97.5	97.0
6.8	0.012	96.7	94.0
6.9	0.011	97.1	95.0
7.0	0.018	95.4	94.0
7.1	0.014	96.9	95.0
7.2	0.013	98.0	97.0
7.3	0.009	96.3	96.0
7.4	0.015	95.7	92.0
7.5	0.012	97.0	97.0
7.6	0.012	97.0	94.0
7.7	0.015	96.3	95.0
7.8	0.016	97.7	95.0
7.9	0.01	97.8	95.0
8.0	0.011	98.5	98.0
8.1	0.01	96.6	92.0
8.2	0.013	96.7	94.0
8.3	0.014	97.3	94.0
8.4	0.006	98.2	97.0
8.5	0.015	97.1	96.0
8.6	0.01	97.9	96.0
8.7	0.014	97.8	98.0
8.8	0.013	97.8	94.0
8.9	0.008	97.5	96.0
9.0	0.01	97.4	96.0
9.1	0.011	96.7	94.0
9.2	0.006	98.2	96.0
9.3	0.009	98.0	95.0
9.4	0.01	97.4	97.0
9.5	0.01	96.8	96.0
9.6	0.016	96.7	98.0
9.7	0.011	97.2	96.0
9.8	0.01	97.4	95.0
9.9	0.01	98.1	95.0
10.0	0.014	95.6	91.0
10.1	0.012	97.3	93.0
10.2	0.01	97.9	98.0
10.3	0.01	97.3	98.0
10.4	0.01	98.3	95.0
10.5	0.009	98.0	93.0
10.6	0.008	98.3	94.0
10.7	0.012	97.4	95.0
10.8	0.012	97.5	94.0
10.9	0.012	97.4	98.0
11.0	0.01	97.0	94.0
11.1	0.01	97.6	95.0
11.2	0.01	98.0	96.0
11.3	0.006	97.6	96.0
11.4	0.004	99.0	99.0
