epoch	train_loss	train_acc	dev_acc
0.1	2.369	0.0	0.0
0.2	1.994	0.0	0.0
0.3	1.865	0.0	0.0
0.4	1.762	0.0	0.0
0.5	1.661	0.0	0.0
0.6	1.564	0.1	0.0
0.7	1.482	0.3	0.4
0.8	1.385	0.2	0.3
0.9	1.341	0.4	0.1
1.0	1.238	1.0	0.1
1.1	1.168	1.4	0.6
1.2	1.077	3.2	0.8
1.3	1.043	3.1	1.8
1.4	0.964	5.7	2.6
1.5	0.896	7.1	3.5
1.6	0.859	8.4	4.6
1.7	0.796	11.8	7.4
1.8	0.702	14.4	11.2
1.9	0.67	18.6	12.7
2.0	0.64	23.3	17.7
2.1	0.509	27.8	20.3
2.2	0.479	29.7	21.3
2.3	0.486	35.0	23.6
2.4	0.456	34.4	27.9
2.5	0.428	36.9	25.9
2.6	0.386	44.3	36.3
2.7	0.359	46.9	37.2
2.8	0.37	48.0	37.4
2.9	0.354	46.3	37.8
3.0	0.352	54.1	45.2
3.1	0.251	54.4	43.1
3.2	0.248	56.0	45.9
3.3	0.253	55.5	42.0
3.4	0.234	53.9	43.7
3.5	0.245	52.9	40.1
3.6	0.248	56.7	47.8
3.7	0.23	64.2	52.5
3.8	0.221	65.0	53.8
3.9	0.215	64.3	53.2
4.0	0.208	65.2	54.0
4.1	0.148	68.5	57.8
4.2	0.157	69.1	56.7
4.3	0.168	68.0	58.0
4.4	0.152	64.1	52.4
4.5	0.177	70.6	59.4
4.6	0.171	69.9	57.5
4.7	0.165	72.7	59.0
4.8	0.164	69.8	55.3
4.9	0.167	72.5	59.1
5.0	0.158	73.4	58.9
5.1	0.11	76.5	62.2
5.2	0.107	74.7	60.5
5.3	0.12	77.8	63.4
5.4	0.133	75.3	61.6
5.5	0.132	76.3	62.6
5.6	0.135	76.3	63.7
5.7	0.134	75.0	64.6
5.8	0.119	77.4	66.5
5.9	0.121	79.2	64.0
6.0	0.133	76.7	63.2
6.1	0.082	81.6	68.3
6.2	0.094	78.0	65.2
6.3	0.1	80.2	67.3
6.4	0.104	80.2	63.7
6.5	0.094	82.1	66.8
6.6	0.088	78.5	63.8
6.7	0.11	78.5	66.4
6.8	0.115	79.4	66.5
6.9	0.104	83.6	68.0
7.0	0.107	79.5	65.8
7.1	0.073	82.5	68.5
7.2	0.072	81.0	66.9
7.3	0.074	83.6	69.1
7.4	0.084	79.7	66.3
7.5	0.085	81.0	65.4
7.6	0.084	79.2	65.6
7.7	0.103	81.3	66.3
7.8	0.094	81.3	64.9
7.9	0.107	83.4	66.0
8.0	0.101	82.2	66.9
8.1	0.063	85.2	69.3
8.2	0.066	83.8	67.8
8.3	0.068	83.6	67.0
8.4	0.071	82.9	66.1
8.5	0.072	77.7	63.3
8.6	0.072	82.6	68.5
8.7	0.078	81.9	65.1
8.8	0.087	84.9	70.2
8.9	0.081	83.7	67.9
9.0	0.083	85.6	68.5
9.1	0.051	86.3	71.0
9.2	0.056	81.7	68.3
9.3	0.068	85.4	68.5
9.4	0.065	83.9	70.1
9.5	0.071	83.5	66.9
9.6	0.076	84.6	69.1
9.7	0.073	84.0	67.7
9.8	0.073	84.5	67.2
9.9	0.086	85.5	71.2
10.0	0.069	86.8	71.5
10.1	0.056	84.9	70.5
10.2	0.052	84.9	71.0
10.3	0.067	82.2	67.4
10.4	0.062	84.7	68.1
10.5	0.058	85.1	70.8
10.6	0.063	85.8	67.7
10.7	0.066	86.6	69.5
10.8	0.067	82.2	65.7
10.9	0.075	86.3	70.5
11.0	0.064	83.5	66.3
11.1	0.048	87.0	70.7
11.2	0.053	85.0	67.5
11.3	0.053	82.9	68.7
11.4	0.064	84.7	69.3
11.5	0.059	86.2	69.2
11.6	0.059	85.7	68.6
11.7	0.061	86.6	71.6
11.8	0.06	85.0	69.7
11.9	0.055	87.7	71.6
12.0	0.066	85.8	69.4
12.1	0.045	88.5	72.6
12.2	0.045	83.8	71.9
12.3	0.058	86.4	70.7
12.4	0.058	86.1	69.2
12.5	0.055	88.0	70.8
12.6	0.061	84.5	68.7
12.7	0.055	87.1	73.4
12.8	0.056	86.5	70.0
12.9	0.059	85.9	69.1
13.0	0.067	85.2	71.3
13.1	0.041	87.9	71.3
13.2	0.043	86.8	72.8
13.3	0.058	85.7	70.5
13.4	0.037	86.9	71.7
13.5	0.054	86.3	69.7
13.6	0.063	83.5	70.9
13.7	0.067	82.9	67.7
13.8	0.055	87.7	72.0
13.9	0.048	86.2	72.5
14.0	0.06	82.8	70.8
14.1	0.039	87.0	71.9
14.2	0.033	89.9	74.7
14.3	0.042	87.0	73.3
14.4	0.058	84.6	71.0
14.5	0.046	88.4	72.8
14.6	0.051	87.3	70.8
14.7	0.047	85.2	69.5
14.8	0.054	84.3	69.3
14.9	0.056	87.0	70.7
15.0	0.063	86.4	72.4
15.1	0.034	90.4	72.8
15.2	0.041	90.0	73.8
15.3	0.032	89.2	76.4
15.4	0.057	84.8	69.0
15.5	0.044	89.1	72.8
15.6	0.058	86.2	71.4
15.7	0.071	87.4	72.3
15.8	0.055	87.2	71.9
15.9	0.06	86.7	71.4
16.0	0.05	89.4	72.4
16.1	0.031	90.9	74.4
16.2	0.039	90.2	71.9
16.3	0.049	87.8	72.1
16.4	0.042	89.6	71.0
16.5	0.046	86.0	72.5
16.6	0.041	87.7	72.1
16.7	0.049	88.4	71.4
16.8	0.054	89.3	73.9
16.9	0.046	85.2	72.0
17.0	0.054	88.1	73.0
17.1	0.036	88.8	73.0
17.2	0.033	87.6	73.0
17.3	0.035	88.0	72.6
17.4	0.043	84.3	71.9
17.5	0.046	87.9	73.0
17.6	0.048	87.9	72.2
17.7	0.051	89.0	72.5
17.8	0.048	87.5	72.4
17.9	0.049	88.1	73.8
18.0	0.052	88.8	72.2
18.1	0.03	90.9	73.2
18.2	0.032	89.8	71.7
18.3	0.035	88.4	70.8
18.4	0.049	86.6	70.2
18.5	0.048	88.5	72.0
18.6	0.05	86.9	70.2
18.7	0.053	89.7	73.5
18.8	0.048	88.2	72.6
