epoch	train_loss	train_acc	dev_acc
0.1	2.538	0.0	0.0
0.2	2.177	0.0	0.0
0.3	2.036	0.0	0.0
0.4	1.96	0.0	0.0
0.5	1.901	0.0	0.0
0.6	1.794	0.0	0.0
0.7	1.761	0.0	0.0
0.8	1.752	0.1	0.0
0.9	1.703	0.2	0.1
1.0	1.651	0.0	0.2
1.1	1.591	0.0	0.0
1.2	1.547	0.2	0.0
1.3	1.527	0.2	0.0
1.4	1.498	0.2	0.1
1.5	1.425	0.4	0.1
1.6	1.422	0.3	0.3
1.7	1.373	0.5	0.3
1.8	1.318	1.3	0.6
1.9	1.268	2.0	0.8
2.0	1.216	2.6	1.2
2.1	1.103	2.6	1.5
2.2	1.062	4.0	1.9
2.3	1.04	3.4	1.7
2.4	0.997	5.2	2.9
2.5	0.956	7.3	4.8
2.6	0.921	10.3	5.6
2.7	0.865	9.8	6.7
2.8	0.842	12.9	6.5
2.9	0.817	12.9	9.8
3.0	0.807	16.7	11.6
3.1	0.637	19.4	14.4
3.2	0.639	20.6	13.8
3.3	0.622	25.0	14.4
3.4	0.602	26.0	16.6
3.5	0.595	27.9	16.8
3.6	0.592	32.0	21.8
3.7	0.55	30.4	21.4
3.8	0.536	34.7	22.8
3.9	0.528	35.5	24.4
4.0	0.515	38.8	25.4
4.1	0.372	43.5	26.6
4.2	0.389	41.5	27.2
4.3	0.383	41.1	27.2
4.4	0.381	43.8	30.9
4.5	0.405	43.8	30.9
4.6	0.374	46.2	30.2
4.7	0.37	44.1	32.1
4.8	0.378	48.1	34.2
4.9	0.367	46.3	32.5
5.0	0.368	48.6	32.7
5.1	0.27	52.6	40.1
5.2	0.262	48.9	34.5
5.3	0.283	52.6	35.7
5.4	0.273	57.1	39.8
5.5	0.268	55.2	38.6
5.6	0.277	56.6	39.1
5.7	0.296	58.1	41.3
5.8	0.276	59.6	41.0
5.9	0.266	60.3	43.4
6.0	0.303	58.7	39.6
6.1	0.18	61.5	42.7
6.2	0.187	56.2	41.3
6.3	0.215	61.6	39.7
6.4	0.219	58.0	41.2
6.5	0.22	63.2	42.8
6.6	0.227	63.8	45.6
6.7	0.224	63.2	44.1
6.8	0.218	64.7	45.6
6.9	0.227	65.7	45.9
7.0	0.24	63.3	40.9
7.1	0.142	65.2	45.6
7.2	0.155	63.9	43.0
7.3	0.165	65.3	42.7
7.4	0.176	64.8	42.3
7.5	0.185	63.5	43.2
7.6	0.177	66.2	42.3
7.7	0.19	64.9	43.3
7.8	0.195	65.3	43.3
7.9	0.188	68.5	46.9
8.0	0.176	70.0	48.6
8.1	0.129	71.1	45.8
8.2	0.133	66.8	46.4
8.3	0.141	69.2	46.5
8.4	0.138	67.4	42.5
8.5	0.153	67.3	44.4
8.6	0.161	67.0	48.5
8.7	0.171	70.5	46.4
8.8	0.171	72.0	49.0
8.9	0.166	71.9	47.4
9.0	0.167	69.3	47.5
9.1	0.099	73.1	51.4
9.2	0.117	72.8	46.9
9.3	0.127	70.9	47.1
9.4	0.134	73.5	50.1
9.5	0.136	69.9	48.8
9.6	0.13	73.9	50.2
9.7	0.152	72.0	50.6
9.8	0.14	73.3	50.1
9.9	0.155	71.8	48.3
10.0	0.158	69.0	49.5
10.1	0.094	70.4	48.2
10.2	0.104	71.2	49.4
10.3	0.113	72.8	46.7
10.4	0.124	74.3	48.7
10.5	0.106	74.2	50.5
10.6	0.132	74.9	51.3
10.7	0.128	73.0	49.2
10.8	0.129	71.6	47.2
10.9	0.133	75.7	50.0
11.0	0.14	75.2	49.9
11.1	0.088	72.6	48.8
11.2	0.098	72.5	47.9
11.3	0.113	69.5	48.2
11.4	0.106	75.7	49.0
11.5	0.103	73.0	47.5
11.6	0.124	73.4	47.9
11.7	0.115	74.0	49.1
11.8	0.132	72.8	49.6
11.9	0.12	73.6	50.3
12.0	0.133	78.5	50.7
12.1	0.083	81.1	54.7
12.2	0.073	79.1	53.8
12.3	0.109	72.9	48.3
12.4	0.099	73.3	47.3
12.5	0.092	75.8	49.8
12.6	0.11	75.5	49.4
12.7	0.104	77.7	50.1
12.8	0.111	73.4	49.2
12.9	0.118	73.6	49.7
13.0	0.124	78.3	49.7
13.1	0.083	75.3	49.4
13.2	0.083	76.1	50.2
13.3	0.086	74.7	48.4
13.4	0.093	74.1	49.6
13.5	0.107	77.3	51.3
13.6	0.102	73.8	48.3
13.7	0.117	76.5	51.4
13.8	0.109	79.4	50.0
13.9	0.113	78.0	53.5
14.0	0.109	80.4	51.6
14.1	0.069	80.6	51.5
14.2	0.08	76.0	50.2
14.3	0.086	80.0	51.3
14.4	0.09	76.0	49.3
14.5	0.097	76.0	49.9
14.6	0.097	81.2	53.8
14.7	0.103	75.5	48.4
14.8	0.109	79.8	52.7
14.9	0.108	78.2	50.1
15.0	0.114	78.1	49.9
