epoch	train_loss	train_acc	dev_acc
0.1	2.389	0.0	0.0
0.2	1.785	0.1	0.0
0.3	1.548	0.0	0.1
0.4	1.411	0.0	0.0
0.5	1.327	0.3	0.0
0.6	1.21	0.3	0.4
0.7	1.137	0.3	0.4
0.8	1.101	1.3	0.6
0.9	1.024	1.5	0.7
1.0	0.932	3.4	1.5
1.1	0.842	4.0	3.2
1.2	0.803	5.0	4.9
1.3	0.751	12.8	8.4
1.4	0.686	12.0	8.4
1.5	0.638	17.6	14.5
1.6	0.597	22.7	16.5
1.7	0.535	28.7	22.2
1.8	0.47	32.5	25.6
1.9	0.461	38.0	29.9
2.0	0.411	45.1	36.2
2.1	0.313	45.7	38.0
2.2	0.29	49.2	37.6
2.3	0.285	51.0	39.9
2.4	0.293	55.4	44.2
2.5	0.254	57.9	44.3
2.6	0.259	61.0	47.2
2.7	0.227	63.5	52.7
2.8	0.242	64.3	54.5
2.9	0.232	62.9	52.2
3.0	0.211	65.0	55.3
3.1	0.154	71.2	57.0
3.2	0.145	70.3	58.6
3.3	0.147	69.1	57.0
3.4	0.154	71.7	60.7
3.5	0.143	71.6	58.7
3.6	0.174	73.4	62.1
3.7	0.137	73.8	63.7
3.8	0.156	75.1	62.1
3.9	0.153	76.5	62.2
4.0	0.139	76.1	62.8
4.1	0.099	77.9	62.8
4.2	0.095	75.2	63.2
4.3	0.106	78.5	65.0
4.4	0.098	82.0	67.4
4.5	0.104	82.6	64.7
4.6	0.105	79.0	65.5
4.7	0.107	81.4	69.0
4.8	0.107	80.3	68.8
4.9	0.106	75.5	65.0
5.0	0.127	80.7	69.6
5.1	0.072	84.6	71.5
5.2	0.072	82.7	69.6
5.3	0.081	84.2	69.9
5.4	0.077	84.9	69.4
5.5	0.077	80.1	66.5
5.6	0.092	82.4	69.9
5.7	0.085	84.0	68.6
5.8	0.086	82.5	69.8
5.9	0.098	84.7	70.9
6.0	0.085	84.2	71.5
6.1	0.062	84.5	72.9
6.2	0.063	84.7	71.3
6.3	0.077	85.7	69.8
6.4	0.064	85.7	72.1
6.5	0.068	85.4	72.2
6.6	0.065	86.3	71.1
6.7	0.066	84.9	72.6
6.8	0.078	83.9	71.5
6.9	0.08	87.4	71.8
7.0	0.077	86.5	72.3
7.1	0.051	87.6	72.2
7.2	0.047	86.3	72.2
7.3	0.059	87.0	72.7
7.4	0.066	85.2	70.6
7.5	0.073	84.2	72.3
7.6	0.061	85.9	71.7
7.7	0.057	87.4	75.0
7.8	0.068	86.5	75.0
7.9	0.062	89.0	75.4
8.0	0.066	87.5	75.4
8.1	0.044	89.5	75.0
8.2	0.045	89.2	76.1
8.3	0.049	86.3	72.8
8.4	0.051	87.0	73.9
8.5	0.063	87.7	73.5
8.6	0.054	90.1	75.1
8.7	0.05	89.4	75.1
8.8	0.048	89.3	75.3
8.9	0.06	88.6	73.3
9.0	0.065	86.7	72.2
9.1	0.048	88.0	75.7
9.2	0.039	88.7	75.1
9.3	0.053	86.8	72.8
9.4	0.048	90.1	75.8
9.5	0.065	87.3	73.7
9.6	0.05	90.2	74.6
9.7	0.057	87.2	72.5
9.8	0.052	89.0	77.0
9.9	0.062	89.7	77.3
10.0	0.061	88.8	76.7
10.1	0.037	91.3	75.6
10.2	0.043	90.0	74.3
