epoch	train_loss	train_acc	dev_acc
0.1	2.276	0.0	0.0
0.2	1.751	0.0	0.0
0.3	1.561	0.0	0.0
0.4	1.425	0.0	0.0
0.5	1.372	0.0	0.0
0.6	1.361	0.1	0.2
0.7	1.273	0.2	0.0
0.8	1.266	0.1	0.0
0.9	1.18	0.4	0.0
1.0	1.189	0.3	0.2
1.1	1.109	0.5	0.2
1.2	1.085	0.5	0.1
1.3	1.025	0.4	0.6
1.4	0.979	0.6	0.7
1.5	0.971	1.0	0.5
1.6	0.961	1.7	0.4
1.7	0.886	2.0	0.2
1.8	0.861	1.6	1.0
1.9	0.813	2.2	0.5
2.0	0.787	4.0	1.9
2.1	0.711	5.0	3.0
2.2	0.66	6.5	3.8
2.3	0.658	9.3	5.7
2.4	0.65	10.6	5.1
2.5	0.587	10.7	4.9
2.6	0.557	14.2	8.4
2.7	0.515	20.5	8.8
2.8	0.504	20.6	11.7
2.9	0.481	22.6	14.5
3.0	0.46	27.4	16.9
3.1	0.377	26.5	19.4
3.2	0.354	33.6	22.4
3.3	0.349	40.2	26.4
3.4	0.321	42.6	28.9
3.5	0.325	43.5	28.6
3.6	0.301	42.7	31.1
3.7	0.29	50.0	36.1
3.8	0.272	57.4	42.1
3.9	0.247	54.0	40.2
4.0	0.258	56.1	38.7
4.1	0.173	59.4	44.5
4.2	0.183	66.0	49.6
4.3	0.186	65.8	49.4
4.4	0.176	63.5	46.9
4.5	0.176	63.9	45.8
4.6	0.189	67.4	50.4
4.7	0.172	72.4	53.8
4.8	0.171	61.9	46.7
4.9	0.159	71.1	54.3
5.0	0.151	73.1	58.0
5.1	0.106	72.0	53.1
5.2	0.113	73.6	58.6
5.3	0.113	72.5	58.5
5.4	0.135	71.3	53.5
5.5	0.126	72.6	57.0
5.6	0.119	72.6	57.3
5.7	0.114	73.4	57.5
5.8	0.135	74.7	57.2
5.9	0.106	79.3	62.4
6.0	0.114	70.9	55.3
6.1	0.08	79.7	62.7
6.2	0.087	77.0	60.7
6.3	0.1	73.4	60.0
6.4	0.099	77.0	59.4
6.5	0.09	78.6	61.1
6.6	0.099	80.2	61.5
6.7	0.073	80.1	64.5
6.8	0.095	77.5	62.2
6.9	0.087	79.7	64.8
7.0	0.097	80.1	61.8
7.1	0.07	84.3	67.2
7.2	0.069	82.6	62.6
7.3	0.056	87.0	70.6
7.4	0.08	80.9	65.6
7.5	0.078	83.8	68.3
7.6	0.063	81.8	67.5
7.7	0.077	82.8	66.2
7.8	0.08	82.4	66.4
7.9	0.089	81.4	63.6
8.0	0.084	81.0	64.1
8.1	0.052	87.1	68.6
